make_standardized,model_raw,model_standardized
DODGE,3500 L,3500 L
DODGE,CHALL,CHALL
DODGE,CHALLE,CHALLE
DODGE,CHALLR,CHALLR
DODGE,R A M,R A M
DODGE,RAM,RAM
DODGE,RAM 15,RAM 15
DODGE,RAM 25,RAM 25
DODGE,RAM 35,RAM 35
DODGE,RAM D1,RAM D1
DODGE,RAM TR,RAM TR
FIAT,500,500
FIAT,500 BE,500 BE
FIAT,500 DO,500 DO
FIAT,500 LO,500 LO
FIAT,500E,500E
FIAT,500E L,500E L
FIAT,695 CO,695 CO
FIAT,ABARIT,ABARIT
FIAT,ABARTH,ABARTH
FIAT,APPLAU,APPLAU
FIAT,B 6832,B 6832
FIAT,B 6942,B 6942
FIAT,B6732,B6732
FIAT,B6832,B6832
FIAT,B7452,B7452
FIAT,BIRSDV,BIRSDV
FIAT,C 7454,C 7454
FIAT,C 7464,C 7464
FIAT,C7454,C7454
FIAT,CASUAR,CASUAR
FIAT,CONQUE,CONQUE
FIAT,DESTIN,DESTIN
FIAT,DUCATI,DUCATI
FIAT,DUCATO,DUCATO
FIAT,EMU RV,EMU RV
FIAT,FA 25,FA 25
FIAT,FD 19,FD 19
FIAT,IN3,IN3
FIAT,IN500,IN500
FIAT,IN600,IN600
FIAT,IND600,IND600
FIAT,INDIE,INDIE
FIAT,INIE C,INIE C
FIAT,JAYCON,JAYCON
FIAT,JRV,JRV
FIAT,OPTIMU,OPTIMU
FIAT,RANGER,RANGER
FIAT,RENTAL,RENTAL
FIAT,SCUDO,SCUDO
FIAT,SIGNAT,SIGNAT
FIAT,TARINO,TARINO
FIAT,TORINO,TORINO
FIAT,V 6442,V 6442
FIAT,V6414,V6414
FORD,2023,2023
FORD,2024,2024
FORD,2025,2025
FORD,ALL N,ALL N
FORD,ALL NE,ALL NE
FORD,ARBRGR,ARBRGR
FORD,ATTO 2,ATTO 2
FORD,BF2SRW,BF2SRW
FORD,D90,D90
FORD,DD2SRX,DD2SRX
FORD,E,E
FORD,E TRAN,E TRAN
FORD,ERVERE,ERVERE
FORD,ESCAPE,ESCAPE
FORD,ESCPAE,ESCPAE
FORD,EVER,EVER
FORD,EVERAS,EVERAS
FORD,EVERER,EVERER
FORD,EVERES,EVERES
FORD,EVERRE,EVERRE
FORD,EVERS,EVERS
FORD,EVERSE,EVERSE
FORD,EVERST,EVERST
FORD,EVERTE,EVERTE
FORD,EVREST,EVREST
FORD,EVRRES,EVRRES
FORD,EXPLOR,EXPLOR
FORD,F 150,F 150
FORD,F-150,F 150
FORD,F 250,F 250
FORD,F 350,F 350
FORD,F150,F150
FORD,F150 L,F150 L
FORD,F150 P,F150 P
FORD,F150 S,F150 S
FORD,F150 X,F150 X
FORD,F250,F250
FORD,F250 L,F250 L
FORD,F250 P,F250 P
FORD,F250 X,F250 X
FORD,F250SR,F250SR
FORD,F350,F350
FORD,F350 L,F350 L
FORD,F450,F450
FORD,FALCON,FALCON
FORD,FIESTA,FIESTA
FORD,FOCUS,FOCUS
FORD,FORD,FORD
FORD,FORD R,FORD R
FORD,H6 ULT,H6 ULT
FORD,JOLION,JOLION
FORD,KONA,KONA
FORD,LARIAT,LARIAT
FORD,LIGHTN,LIGHTN
FORD,MACH E,MACH E
FORD,MACHE,MACHE
FORD,MSTANG,MSTANG
FORD,MUS,MUS
FORD,MUSTA,MUSTA
FORD,MUSTAG,MUSTAG
FORD,MUSTAN,MUSTAN
FORD,MUSTNG,MUSTNG
FORD,P,P
FORD,PLATIN,PLATIN
FORD,PUMA,PUMA
FORD,PUMA S,PUMA S
FORD,R,R
FORD,RA,RA
FORD,RAMGER,RAMGER
FORD,RAN,RAN
FORD,RANEGR,RANEGR
FORD,RANER,RANER
FORD,RANFER,RANFER
FORD,RANGE,RANGE
FORD,RANGEE,RANGEE
FORD,RANGER,RANGER
FORD,RANGET,RANGET
FORD,RANGR,RANGR
FORD,RANGRT,RANGRT
FORD,RAPTOR,RAPTOR
FORD,RAPTPR,RAPTPR
FORD,RNAGER,RNAGER
FORD,RNGER,RNGER
FORD,SANTA,SANTA
FORD,SDUTY,SDUTY
FORD,SEAL,SEAL
FORD,SEALIO,SEALIO
FORD,SHELBY,SHELBY
FORD,SPORT,SPORT
FORD,SUNCAM,SUNCAM
FORD,SUPER,SUPER
FORD,SUPERD,SUPERD
FORD,SUPGD,SUPGD
FORD,SWIFT,SWIFT
FORD,TANK 3,TANK 3
FORD,TANSIT,TANSIT
