make_standardized,model_raw,model_standardized
BMW,F900,F900
BMW,F900 G,F900 G
BMW,F900 R,F900 R
BMW,F900 X,F900 X
BMW,F900GS,F900GS
BMW,F900R,F900R
BMW,F900XR,F900XR
BMW,G 310,G 310
BMW,G 310R,G 310R
BMW,G05 X5,G05 X5
BMW,G310 G,G310 G
BMW,G310 R,G310 R
BMW,G3103S,G3103S
BMW,G310GS,G310GS
BMW,G310R,G310R
BMW,G42 23,G42 23
BMW,G87 M2,G87 M2
BMW,GLB200,GLB200
BMW,I4,I4
BMW,I4 35,I4 35
BMW,I4 35E,I4 35E
BMW,I4 3S,I4 3S
BMW,I4 40,I4 40
BMW,I4 E35,I4 E35
BMW,I4 E40,I4 E40
BMW,I4 EDR,I4 EDR
BMW,I4 M50,I4 M50
BMW,I440,I440
BMW,I5,I5
BMW,I5 40,I5 40
BMW,I5 60,I5 60
BMW,I5 E40,I5 E40
BMW,I5 EDR,I5 EDR
BMW,I5 M60,I5 M60
BMW,I7,I7
BMW,I7 60,I7 60
BMW,I7 M70,I7 M70
BMW,I7 X D,I7 X D
BMW,I7 XDR,I7 XDR
BMW,I760,I760
BMW,II8I,II8I
BMW,IX,IX
BMW,IX 2,IX 2
BMW,IX 3,IX 3
BMW,IX 40,IX 40
BMW,IX 45,IX 45
BMW,IX 50,IX 50
BMW,IX E45,IX E45
BMW,IX M60,IX M60
BMW,IX X45,IX X45
BMW,IX X50,IX X50
BMW,IX XDR,IX XDR
BMW,IX1,IX1
BMW,IX1  2,IX1 2
BMW,IX1 20,IX1 20
BMW,IX1 30,IX1 30
BMW,IX1 E2,IX1 E2
BMW,IX1 ED,IX1 ED
BMW,IX1 XD,IX1 XD
BMW,IX120,IX120
BMW,IX130,IX130
BMW,IX1XDR,IX1XDR
BMW,IX2,IX2
BMW,IX2 20,IX2 20
BMW,IX2 30,IX2 30
BMW,IX2 ED,IX2 ED
BMW,IX2 XD,IX2 XD
BMW,IX3,IX3
BMW,IX3 M,IX3 M
BMW,IX3 MS,IX3 MS
BMW,IX4,IX4
BMW,IX40,IX40
BMW,IX45,IX45
BMW,IX50,IX50
BMW,IXDRIV,IXDRIV
BMW,IXL,IXL
BMW,JCW,JCW
BMW,JCW E,JCW E
BMW,K 160,K 160
BMW,K 1600,K 1600
BMW,K1000G,K1000G
BMW,K1600,K1600
BMW,K1600B,K1600B
BMW,K1600G,K1600G
BMW,M 1000,M 1000
BMW,M1 35I,M1 35I
BMW,M1000,M1000
BMW,M1000R,M1000R
BMW,M1000X,M1000X
BMW,M135,M135
BMW,M135 H,M135 H
BMW,M135 X,M135 X
BMW,M135I,M135I
BMW,M2,M2
BMW,M2 COU,M2 COU
BMW,M2 CS,M2 CS
BMW,M235,M235
BMW,M235 X,M235 X
BMW,M235I,M235I
BMW,M240,M240
BMW,M240I,M240I
BMW,M3,M3
BMW,M3 COM,M3 COM
BMW,M3 CS,M3 CS
BMW,M3 TOU,M3 TOU
BMW,M304I,M304I
BMW,M340I,M340I
BMW,M35I,M35I
BMW,M4,M4
BMW,M4 40I,M4 40I
BMW,M4 CO,M4 CO
BMW,M4 COM,M4 COM
BMW,M4 CS,M4 CS
BMW,M440,M440
BMW,M440I,M440I
BMW,M5,M5
BMW,M5 COM,M5 COM
BMW,M5 TOU,M5 TOU
BMW,M550I,M550I
BMW,M8,M8
BMW,M850I,M850I
BMW,MINI C,MINI C
BMW,MULTIS,MULTIS
BMW,R 12,R 12
BMW,R 12 G,R 12 G
BMW,R 12 H,R 12 H
BMW,R 12 N,R 12 N
BMW,R 12 O,R 12 O
BMW,R 12 S,R 12 S
BMW,R 125,R 125
BMW,R 1250,R 1250
BMW,R 12NI,R 12NI
BMW,R 130,R 130
BMW,R 1300,R 1300
BMW,R 18,R 18
BMW,R 18 1,R 18 1
BMW,R 18 B,R 18 B
BMW,R 18 C,R 18 C
BMW,R 18 H,R 18 H
BMW,R 18 R,R 18 R
BMW,R 18 T,R 18 T
BMW,R NIN,R NIN
BMW,R NINE,R NINE
BMW,R12,R12
BMW,R12 GS,R12 GS
BMW,R12 NI,R12 NI
BMW,R12 S,R12 S
BMW,R1250,R1250
BMW,R1250G,R1250G
BMW,R1250R,R1250R
BMW,R12GS,R12GS
BMW,R12NIN,R12NIN
BMW,R12S,R12S
BMW,R1300,R1300
BMW,R1300G,R1300G
BMW,R1300R,R1300R
BMW,R18,R18
BMW,R18 B,R18 B
BMW,R18 BL,R18 BL
BMW,R18 CL,R18 CL
BMW,R18 HL,R18 HL
BMW,R18 RO,R18 RO
BMW,R18 TR,R18 TR
BMW,R18B,R18B
BMW,R18CL,R18CL
BMW,R18TR,R18TR
BMW,R9T,R9T
BMW,RNINET,RNINET
BMW,S 100,S 100
BMW,S 1000,S 1000
BMW,S1000,S1000
BMW,S10000,S10000
BMW,S1000R,S1000R
BMW,S1000X,S1000X
BMW,S100R,S100R
BMW,S100RR,S100RR
BMW,S100XR,S100XR
BMW,SERIES,SERIES
BMW,X M40I,X M40I
BMW,X1,X1
BMW,X1 18I,X1 18I
BMW,X1 20,X1 20
BMW,X1 20I,X1 20I
BMW,X1 M13,X1 M13
BMW,X1 M35,X1 M35
BMW,X1 SDR,X1 SDR
BMW,X1 X D,X1 X D
BMW,X1 XDR,X1 XDR
BMW,X120I,X120I
BMW,X1M35I,X1M35I
BMW,X2,X2
BMW,X2 18I,X2 18I
BMW,X2  20,X2 20
BMW,X2 20I,X2 20I
BMW,X2 M35,X2 M35
BMW,X2 SDR,X2 SDR
BMW,X2 XDR,X2 XDR
BMW,X3,X3
BMW,X3 20,X3 20
BMW,X3 20D,X3 20D
BMW,X3 20I,X3 20I
BMW,X3 20X,X3 20X
BMW,X3 30D,X3 30D
BMW,X3 30E,X3 30E
BMW,X3 30I,X3 30I
BMW,X3 3OI,X3 3OI
BMW,X3 40D,X3 40D
BMW,X3 M,X3 M
BMW,X3 M C,X3 M C
BMW,X3 M40,X3 M40
BMW,X3 M4O,X3 M4O
BMW,X3 M50,X3 M50
BMW,X3 SDR,X3 SDR
BMW,X3 XDR,X3 XDR
BMW,X330E,X330E
BMW,X3M CO,X3M CO
BMW,X3M40I,X3M40I
BMW,X4,X4
BMW,X4 20I,X4 20I
BMW,X4 30D,X4 30D
BMW,X4 30I,X4 30I
BMW,X4 M,X4 M
BMW,X4 M C,X4 M C
BMW,X4 M40,X4 M40
BMW,X4 XDR,X4 XDR
BMW,X4M,X4M
BMW,X5,X5
BMW,X5 30D,X5 30D
BMW,X5 3OD,X5 3OD
BMW,X5 40I,X5 40I
BMW,X5 50E,X5 50E
BMW,X5 50I,X5 50I
BMW,X5 D40,X5 D40
BMW,X5 M,X5 M
BMW,X5 M C,X5 M C
BMW,X5 M50,X5 M50
BMW,X5 M60,X5 M60
BMW,X5 XDD,X5 XDD
BMW,X5 XDR,X5 XDR
BMW,X540I,X540I
BMW,X550E,X550E
BMW,X6,X6
BMW,X6 30D,X6 30D
BMW,X6 40I,X6 40I
BMW,X6 M,X6 M
BMW,X6 M C,X6 M C
BMW,X6 M50,X6 M50
BMW,X6 M60,X6 M60
BMW,X6 X D,X6 X D
BMW,X6 XDR,X6 XDR
BMW,X7,X7
BMW,X7 30D,X7 30D
BMW,X7 40D,X7 40D
BMW,X7 40I,X7 40I
BMW,X7 M60,X7 M60
BMW,X7 XDR,X7 XDR
BMW,XD3,XD3
BMW,XM,XM
BMW,XM LAB,XM LAB
