CD_MODEL_VEH
1500  
1500 B
1500 D
220I  
250 SE
250 SX
2R340 
300 61
300 81
3004ST
3008 G
300NK 
300SR 
301   
305   
390 DU
420I  
48X DA
50 180
500EXC
531 70
6     
6120M 
616R  
695SV 
700 FR
701   
800 MT
816   
8FG25 
8RX370
901   
A45   
ACTROS
ANTHEM
ASX ES
ASX LS
ASX XD
ATEGO 
BENTAY
BUL350
C150  
C300  
C63 S 
CAMRTY
CAMRY 
CANONK
CB650R
CC1200
CG3243
CHIEF 
CHIEFT
CIVIC 
CK3710
CLA350
CLX300
COASTE
COMMUT
CONTGT
CPX   
CRAFTE
CRC   
CRF110
CRF45L
CW16  
CX60 A
CX60C 
CX8 D3
CX9   
CZD300
DADAO 
DIO 11
DL65AU
DL9   
DMAX L
DMAX S
DMAXU 
DRAGST
DUKE 2
E2008 
EN650B
EPARTN
EQA250
EQB 25
ESSENC
EUROCA
EV9   
EX400G
EX650L
EX9   
EXCF  
EXCITE
EXPERT
F150 X
FABIA 
FEA61B
FEB21E
FH64T 
FH6X47
FH700 
FIGHTE
FK65FL
FLFBS 
FLHRXS
FM    
FM410 
FM500 
FM67FM
FRD 11
FRR   
FRR600
FS 284
FSD 14
FSR   
FTR R 
FV70HK
FVD   
FVD 16
FVZ 24
FXBR  
FXLRS 
FXLRST
FYJ   
FYJ 30
FYJ300
G125A 
G63   
GD5555
GLA 20
GLB250
GLC 30
GLE300
GLE400
GOLF  
GOLF L
GOLF R
GPD150
GR COR
GRAND 
GSXS75
GTV300
HONDAZ
HS ESS
HZV   
I30   
I4 35 
IGNIS 
IX 40 
JRV   
KAROQ 
KLR650
L4600H
LC300 
LEAF  
LM350H
LS500H
LTM106
M135I 
M4    
MACH E
MASTER
MET350
MG 5  
MG ZST
MG4 ES
MG5   
MGZS E
MGZST 
MONSTE
MT07  
MT07HO
MT07TR
MT09SP
MULTIS
MUX   
MX5   
MXU 40
MY PRF
NIRO E
NLR   
NNR   
NPR45/
NQR87 
OCTAVI
OMADA 
OMODA5
ORA   
ORA 48
ORA GT
OS KON
OUTBAC
PAH   
PATROL
Q5 SPO
R 620 
R 660 
RANGER
RAV4  
RAV4 G
RC390 
RG937 
ROCKET
RR SPO
RRS   
RS660 
S60   
S66   
S8    
SANTA 
SELTOS
SK13SR
SORENT
SUPRA 
SWAY  
SWAY A
T360A 
T60 MA
TE150 
TENERE
THRUXT
TIGERS
TRAFF 
TRITON
TUONO 
UFORCE
V 300 
V60   
VITO 1
VOLKSW
WRX   
X TRAI
X1    
X1 18I
X1 20I
X4 30I
X5 M  
X5 M60
X7 M60
XD ASX
XP560D
XSR900
XTZ690
XUV7OO
YARIS 
Z     
ZR1000
ZS    
ZS ESS
ZST ES
14I   
19320E
211P  
3 SERI
300 XC
430I G
5     
52560T
530D  
616 AT
718 BO
750S  
8730S 
A200  
A250E 
A6    
AG-PRO
ASX MR
B8R   
B8RLE 
BD CER
BE741J
C 43  
C 63  
C HR H
C3    
C400  
C63 SE
CBR650
CFORCE
CHR GR
CHR KO
CLA250
CLE200
CLUBMA
CROSS 
CRV HE
CX 5  
CX3 20
CX9 AZ
CX90 G
D4HEPH
D9RA  
DAYTON
DEFEDN
EL450 
EQB250
EQE300
ER500E
EX500G
EX650K
EX9MIG
EXPLOR
FD 112
FEB91G
FLGCXT
FMX500
FST AD
FTTX  
G 420 
G 540 
G 63  
GLC 43
GWB   
H6GT U
HI ACE
HX1402
I4 EDR
IONIQ5
IX120 
IX2 30
IX50  
K360C 
KX057 
LBX SP
LC70  
LC76  
LC79 D
