make_standardized,model_standardized,ev_category
BYD,ATTO 3,EV
BYD,DOLPHN,EV
BYD,SEALIO,EV
TESLA,MODEL 3,EV
TESLA,MODEL Y,EV
TESLA,MODEL S,EV
TESLA,MODEL X,EV
POLESTAR,2,EV
KIA,EV6,EV
KIA,NIRO,EV
KIA,NIRO PHEV,PHEV
MG,ZS EV,EV
MG,HS PHEV,PHEV
HYUNDAI,IONIQ5,EV
HYUNDAI,IONIQ 6,EV
HYUNDAI,KONA EV,EV
AUDI,E-TRON,EV
AUDI,Q4 ETR,EV
BMW,I4 40,EV
BMW,IX 50,EV
FORD,MACH E,EV
TOYOTA,RAV4 HYBRID,HEV
TOYOTA,CAMRY HYBRID,HEV
MAHINDRA,XUV700,ICE
FORD,RANGER,ICE
BMW,320I,ICE
UNKNOWN,UNKNOWN,UNKNOWN
