make_standardized,model_raw,model_standardized,ev_category
BMW,530D,530D,ICE
BMW,530D T,530D T,ICE
BMW,530E,530E,ICE
BMW,530I,530I,ICE
BMW,540D,540D,ICE
BMW,540D S,540D S,ICE
BMW,540D X,540D X,ICE
BMW,56DP,56DP,ICE
BMW,6X,6X,ICE
BMW,7 SERI,7 SERI,ICE
BMW,740,740,ICE
BMW,740I,740I,ICE
BMW,760I,760I,ICE
BMW,8 SERI,8 SERI,ICE
BMW,82GM,82GM,ICE
BMW,840I,840I,ICE
BMW,840I C,840I C,ICE
BMW,840I G,840I G,ICE
BMW,850I,850I,ICE
BMW,86DP,86DP,ICE
BMW,ACEMAN,ACEMAN,ICE
BMW,ALPINA,ALPINA,ICE
BMW,APLINA,APLINA,ICE
BMW,BMW,BMW,ICE
BMW,BMW X5,BMW X5,ICE
BMW,C 400,C 400,ICE
BMW,C400 G,C400 G,ICE
BMW,C400 X,C400 X,ICE
BMW,C400GT,C400GT,ICE
BMW,C400X,C400X,ICE
BMW,CE 04,CE 04,ICE
BMW,CE04,CE04,ICE
BMW,CE04 A,CE04 A,ICE
BMW,COOPER,COOPER,ICE
BMW,COUNTR,COUNTR,ICE
BMW,COUNTY,COUNTY,ICE
BMW,CX30,CX30,ICE
BMW,F 750,F 750,ICE
BMW,F 800,F 800,ICE
BMW,F 850,F 850,ICE
BMW,F 900,F 900,ICE
BMW,F36 42,F36 42,ICE
BMW,F578P9,F578P9,ICE
BMW,F70 M1,F70 M1,ICE
BMW,F74200,F74200,ICE
BMW,F750 G,F750 G,ICE
BMW,F750GS,F750GS,ICE
BMW,F800 G,F800 G,ICE
BMW,F800GS,F800GS,ICE
BMW,F850 G,F850 G,ICE
BMW,F850GS,F850GS,ICE
BMW,F900,F900,ICE
BMW,F900 G,F900 G,ICE
BMW,F900 R,F900 R,ICE
BMW,F900 X,F900 X,ICE
BMW,F900GS,F900GS,ICE
BMW,F900R,F900R,ICE
BMW,F900XR,F900XR,ICE
BMW,G 310,G 310,ICE
BMW,G 310R,G 310R,ICE
BMW,G05 X5,G05 X5,ICE
BMW,G310 G,G310 G,ICE
BMW,G310 R,G310 R,ICE
BMW,G3103S,G3103S,ICE
BMW,G310GS,G310GS,ICE
BMW,G310R,G310R,ICE
BMW,G42 23,G42 23,ICE
BMW,G87 M2,G87 M2,ICE
BMW,GLB200,GLB200,ICE
BMW,I4,I4,ICE
BMW,I4 35,I4 35,ICE
BMW,I4 35E,I4 35E,ICE
BMW,I4 3S,I4 3S,ICE
BMW,I4 40,I4 40,ICE
BMW,I4 E35,I4 E35,ICE
BMW,I4 E40,I4 E40,ICE
BMW,I4 EDR,I4 EDR,ICE
BMW,I4 M50,I4 M50,ICE
BMW,I440,I440,ICE
BMW,I5,I5,ICE
BMW,I5 40,I5 40,ICE
BMW,I5 60,I5 60,ICE
BMW,I5 E40,I5 E40,ICE
BMW,I5 EDR,I5 EDR,ICE
BMW,I5 M60,I5 M60,ICE
BMW,I7,I7,ICE
BMW,I7 60,I7 60,ICE
BMW,I7 M70,I7 M70,ICE
BMW,I7 X D,I7 X D,ICE
BMW,I7 XDR,I7 XDR,ICE
BMW,I760,I760,ICE
BMW,II8I,II8I,ICE
BMW,IX,IX,ICE
BMW,IX 2,IX 2,ICE
BMW,IX 3,IX 3,ICE
BMW,IX 40,IX 40,ICE
BMW,IX 45,IX 45,ICE
BMW,IX 50,IX 50,ICE
BMW,IX E45,IX E45,ICE
BMW,IX M60,IX M60,ICE
BMW,IX X45,IX X45,ICE
BMW,IX X50,IX X50,ICE
BMW,IX XDR,IX XDR,ICE
BMW,IX1,IX1,ICE
BMW,IX1 2,IX1 2,ICE
BMW,IX1 20,IX1 20,ICE
BMW,IX1 30,IX1 30,ICE
BMW,IX1 E2,IX1 E2,ICE
BMW,IX1 ED,IX1 ED,ICE
BMW,IX1 XD,IX1 XD,ICE
BMW,IX120,IX120,ICE
BMW,IX130,IX130,ICE
BMW,IX1XDR,IX1XDR,ICE
BMW,IX2,IX2,ICE
BMW,IX2 20,IX2 20,ICE
BMW,IX2 30,IX2 30,ICE
BMW,IX2 ED,IX2 ED,ICE
BMW,IX2 XD,IX2 XD,ICE
BMW,IX3,IX3,ICE
BMW,IX3 M,IX3 M,ICE
BMW,IX3 MS,IX3 MS,ICE
BMW,IX4,IX4,ICE
BMW,IX40,IX40,ICE
BMW,IX45,IX45,ICE
BMW,IX50,IX50,ICE
BMW,IXDRIV,IXDRIV,ICE
BMW,IXL,IXL,ICE
BMW,JCW,JCW,ICE
BMW,JCW E,JCW E,ICE
BMW,K 160,K 160,ICE
BMW,K 1600,K 1600,ICE
BMW,K1000G,K1000G,ICE
BMW,K1600,K1600,ICE
BMW,K1600B,K1600B,ICE
BMW,K1600G,K1600G,ICE
BMW,M 1000,M 1000,ICE
BMW,M1 35I,M1 35I,ICE
BMW,M1000,M1000,ICE
BMW,M1000R,M1000R,ICE
BMW,M1000X,M1000X,ICE
BMW,M135,M135,ICE
BMW,M135 H,M135 H,ICE
BMW,M135 X,M135 X,ICE
BMW,M135I,M135I,ICE
BMW,M2,M2,ICE
BMW,M2 COU,M2 COU,ICE
BMW,M2 CS,M2 CS,ICE
BMW,M235,M235,ICE
BMW,M235 X,M235 X,ICE
BMW,M235I,M235I,ICE
BMW,M240,M240,ICE
BMW,M240I,M240I,ICE
BMW,M3,M3,ICE
BMW,M3 COM,M3 COM,ICE
BMW,M3 CS,M3 CS,ICE
BMW,M3 TOU,M3 TOU,ICE
BMW,M304I,M304I,ICE
BMW,M340I,M340I,ICE
BMW,M35I,M35I,ICE
BMW,M4,M4,ICE
BMW,M4 40I,M4 40I,ICE
BMW,M4 CO,M4 CO,ICE
BMW,M4 COM,M4 COM,ICE
BMW,M4 CS,M4 CS,ICE
BMW,M440,M440,ICE
BMW,M440I,M440I,ICE
BMW,M5,M5,ICE
BMW,M5 COM,M5 COM,ICE
BMW,M5 TOU,M5 TOU,ICE
BMW,M550I,M550I,ICE
BMW,M8,M8,ICE
BMW,M850I,M850I,ICE
BMW,MINI C,MINI C,ICE
BMW,MULTIS,MULTIS,ICE
BMW,R 12,R 12,ICE
BMW,R 12 G,R 12 G,ICE
BMW,R 12 H,R 12 H,ICE
BMW,R 12 N,R 12 N,ICE
BMW,R 12 O,R 12 O,ICE
BMW,R 12 S,R 12 S,ICE
BMW,R 125,R 125,ICE
BMW,R 1250,R 1250,ICE
BMW,R 12NI,R 12NI,ICE
BMW,R 130,R 130,ICE
BMW,R 1300,R 1300,ICE
BMW,R 18,R 18,ICE
BMW,R 18 1,R 18 1,ICE
BMW,R 18 B,R 18 B,ICE
BMW,R 18 C,R 18 C,ICE
BMW,R 18 H,R 18 H,ICE
BMW,R 18 R,R 18 R,ICE
BMW,R 18 T,R 18 T,ICE
BMW,R NIN,R NIN,ICE
BMW,R NINE,R NINE,ICE
BMW,R12,R12,ICE
BMW,R12 GS,R12 GS,ICE
BMW,R12 NI,R12 NI,ICE
BMW,R12 S,R12 S,ICE
BMW,R1250,R1250,ICE
BMW,R1250G,R1250G,ICE
BMW,R1250R,R1250R,ICE
BMW,R12GS,R12GS,ICE
BMW,R12NIN,R12NIN,ICE
BMW,R12S,R12S,ICE
BMW,R1300,R1300,ICE
BMW,R1300G,R1300G,ICE
BMW,R1300R,R1300R,ICE
BMW,R18,R18,ICE
BMW,R18 B,R18 B,ICE
BMW,R18 BL,R18 BL,ICE
BMW,R18 CL,R18 CL,ICE
BMW,R18 HL,R18 HL,ICE
BMW,R18 RO,R18 RO,ICE
BMW,R18 TR,R18 TR,ICE
BMW,R18B,R18B,ICE
BMW,R18CL,R18CL,ICE
BMW,R18TR,R18TR,ICE
BMW,R9T,R9T,ICE
BMW,RNINET,RNINET,ICE
BMW,S 100,S 100,ICE
BMW,S 1000,S 1000,ICE
BMW,S1000,S1000,ICE
BMW,S10000,S10000,ICE
BMW,S1000R,S1000R,ICE
BMW,S1000X,S1000X,ICE
BMW,S100R,S100R,ICE
BMW,S100RR,S100RR,ICE
BMW,S100XR,S100XR,ICE
BMW,SERIES,SERIES,ICE
BMW,X M40I,X M40I,ICE
BMW,X1,X1,ICE
BMW,X1 18I,X1 18I,ICE
BMW,X1 20,X1 20,ICE
BMW,X1 20I,X1 20I,ICE
BMW,X1 M13,X1 M13,ICE
BMW,X1 M35,X1 M35,ICE
BMW,X1 SDR,X1 SDR,ICE
BMW,X1 X D,X1 X D,ICE
BMW,X1 XDR,X1 XDR,ICE
BMW,X120I,X120I,ICE
BMW,X1M35I,X1M35I,ICE
BMW,X2,X2,ICE
BMW,X2 18I,X2 18I,ICE
BMW,X2 20,X2 20,ICE
BMW,X2 20I,X2 20I,ICE
BMW,X2 M35,X2 M35,ICE
BMW,X2 SDR,X2 SDR,ICE
BMW,X2 XDR,X2 XDR,ICE
BMW,X3,X3,ICE
BMW,X3 20,X3 20,ICE
BMW,X3 20D,X3 20D,ICE
BMW,X3 20I,X3 20I,ICE
BMW,X3 20X,X3 20X,ICE
BMW,X3 30D,X3 30D,ICE
BMW,X3 30E,X3 30E,ICE
BMW,X3 30I,X3 30I,ICE
BMW,X3 3OI,X3 3OI,ICE
BMW,X3 40D,X3 40D,ICE
BMW,X3 M,X3 M,ICE
BMW,X3 M C,X3 M C,ICE
BMW,X3 M40,X3 M40,ICE
BMW,X3 M4O,X3 M4O,ICE
BMW,X3 M50,X3 M50,ICE
BMW,X3 SDR,X3 SDR,ICE
BMW,X3 XDR,X3 XDR,ICE
BMW,X330E,X330E,ICE
BMW,X3M CO,X3M CO,ICE
BMW,X3M40I,X3M40I,ICE
BMW,X4,X4,ICE
BMW,X4 20I,X4 20I,ICE
BMW,X4 30D,X4 30D,ICE
BMW,X4 30I,X4 30I,ICE
BMW,X4 M,X4 M,ICE
BMW,X4 M C,X4 M C,ICE
BMW,X4 M40,X4 M40,ICE
BMW,X4 XDR,X4 XDR,ICE
BMW,X4M,X4M,ICE
BMW,X5,X5,ICE
BMW,X5 30D,X5 30D,ICE
BMW,X5 3OD,X5 3OD,ICE
BMW,X5 40I,X5 40I,ICE
BMW,X5 50E,X5 50E,ICE
BMW,X5 50I,X5 50I,ICE
BMW,X5 D40,X5 D40,ICE
BMW,X5 M,X5 M,ICE
BMW,X5 M C,X5 M C,ICE
BMW,X5 M50,X5 M50,ICE
BMW,X5 M60,X5 M60,ICE
BMW,X5 XDD,X5 XDD,ICE
BMW,X5 XDR,X5 XDR,ICE
BMW,X540I,X540I,ICE
BMW,X550E,X550E,ICE
BMW,X6,X6,ICE
BMW,X6 30D,X6 30D,ICE
BMW,X6 40I,X6 40I,ICE
BMW,X6 M,X6 M,ICE
BMW,X6 M C,X6 M C,ICE
BMW,X6 M50,X6 M50,ICE
BMW,X6 M60,X6 M60,ICE
BMW,X6 X D,X6 X D,ICE
BMW,X6 XDR,X6 XDR,ICE
BMW,X7,X7,ICE
BMW,X7 30D,X7 30D,ICE
BMW,X7 40D,X7 40D,ICE
BMW,X7 40I,X7 40I,ICE
BMW,X7 M60,X7 M60,ICE
BMW,X7 XDR,X7 XDR,ICE
BMW,XD3,XD3,ICE
BMW,XM,XM,ICE
BMW,XM LAB,XM LAB,ICE
BMW,XX6,XX6,ICE
BMW,Z4,Z4,ICE
BMW,Z4 20I,Z4 20I,ICE
BMW,Z4 M40,Z4 M40,ICE
BMW,Z4 SDR,Z4 SDR,ICE
BMW,ZP11,ZP11,ICE
BYD,2024,2024,ICE
BYD,A,A,ICE
BYD,AAA,AAA,ICE
BYD,ATT0 2,ATT0 2,ICE
BYD,ATTO,ATTO,ICE
BYD,ATTO 1,ATTO 1,ICE
BYD,ATTO 2,ATTO 2,ICE
BYD,ATTO 3,ATTO 3,BEV
BYD,ATTO1,ATTO1,ICE
BYD,ATTO2,ATTO2,ICE
BYD,ATTO3,ATTO3,ICE
BYD,ATTP 2,ATTP 2,ICE
BYD,BYD,BYD,ICE
BYD,BYD MY,BYD MY,ICE
BYD,BYD472,BYD472,ICE
BYD,CPD20,CPD20,ICE
BYD,D92A,D92A,ICE
BYD,D9RA,D9RA,ICE
BYD,DEALIO,DEALIO,ICE
BYD,DOLHPI,DOLHPI,ICE
BYD,DOLPH,DOLPH,ICE
BYD,DOLPHI,DOLPHI,ICE
BYD,DOLPHN,DOLPHN,ICE
BYD,DOPHIN,DOPHIN,ICE
BYD,DOPLHI,DOPLHI,ICE
BYD,ECB18S,ECB18S,ICE
BYD,EM2E D,EM2E D,ICE
BYD,EQE,EQE,ICE
BYD,HSARK6,HSARK6,ICE
BYD,LION,LION,ICE
BYD,M9,M9,ICE
BYD,PAH,PAH,ICE
BYD,RANGER,RANGER,ICE
BYD,SA3,SA3,ICE
BYD,SC3E,SC3E,ICE
BYD,SEAION,SEAION,ICE
BYD,SEAL,SEAL,ICE
BYD,SEAL 6,SEAL 6,ICE
BYD,SEAL 7,SEAL 7,ICE
BYD,SEAL6,SEAL6,ICE
BYD,SEAL7,SEAL7,ICE
BYD,SEALI,SEALI,ICE
BYD,SEALI7,SEALI7,ICE
BYD,SEALIN,SEALIN,ICE
BYD,SEALIO,SEALIO,ICE
BYD,SELAIO,SELAIO,ICE
BYD,SHAKR,SHAKR,ICE
BYD,SHARK,SHARK,ICE
BYD,SHARK6,SHARK6,ICE
BYD,SHRK 6,SHRK 6,ICE
BYD,SONG P,SONG P,ICE
BYD,SONGPL,SONGPL,ICE
BYD,SR,SR,ICE
BYD,TZ200X,TZ200X,ICE
BYD,TZ220X,TZ220X,ICE
BYD,U8,U8,ICE
BYD,UK,UK,ICE
CHERY,2024,2024,ICE
CHERY,2025,2025,ICE
CHERY,BX,BX,ICE
CHERY,BX T34,BX T34,ICE
CHERY,C 5,C 5,ICE
CHERY,C 5 UL,C 5 UL,ICE
CHERY,C 5 UR,C 5 UR,ICE
CHERY,C5,C5,ICE
CHERY,C5 MY2,C5 MY2,ICE
CHERY,C5 OMO,C5 OMO,ICE
CHERY,C5 ULT,C5 ULT,ICE
CHERY,C5 URB,C5 URB,ICE
CHERY,CHERY,CHERY,ICE
CHERY,CHR,CHR,ICE
CHERY,E5,E5,ICE
CHERY,E5 BEV,E5 BEV,BEV
CHERY,E5 ULT,E5 ULT,ICE
CHERY,EV5,EV5,BEV
CHERY,EX T34,EX T34,ICE
CHERY,J5,J5,ICE
CHERY,J5 SU,J5 SU,ICE
CHERY,J7,J7,ICE
CHERY,J8,J8,ICE
CHERY,JAECOO,JAECOO,ICE
CHERY,MG U9,MG U9,ICE
CHERY,MY24 T,MY24 T,ICE
CHERY,MY25 C,MY25 C,ICE
CHERY,MY25 T,MY25 T,ICE
CHERY,MY25 U,MY25 U,ICE
CHERY,MY26 T,MY26 T,ICE
CHERY,OMADA,OMADA,ICE
CHERY,OMADA5,OMADA5,ICE
CHERY,OMEDA,OMEDA,ICE
CHERY,OMOA 5,OMOA 5,ICE
CHERY,OMOAD,OMOAD,ICE
CHERY,OMODA,OMODA,ICE
CHERY,OMODA5,OMODA5,ICE
CHERY,OMONDA,OMONDA,ICE
CHERY,ONODA,ONODA,ICE
CHERY,RED,RED,ICE
CHERY,T19C O,T19C O,ICE
CHERY,T31 TI,T31 TI,ICE
CHERY,T32,T32,ICE
CHERY,T32 TI,T32 TI,ICE
CHERY,T34,T34,ICE
