make_standardized,model_standardized,ev_category
BMW,I4 40,BEV
BMW,I4 E35,BEV
BMW,I4 E40,BEV
BMW,I4 EDR,BEV
BMW,I4 M50,BEV
BMW,I440,BEV
BMW,I5,BEV
BMW,I5 40,BEV
BMW,I5 60,BEV
BMW,I5 E40,BEV
BMW,I5 EDR,BEV
BMW,I5 M60,BEV
BMW,I7,BEV
BMW,I7 60,BEV
BMW,I7 M70,BEV
BMW,I7 X D,BEV
BMW,I7 XDR,BEV
BMW,I760,BEV
BMW,II8I,ICE
BMW,IX,BEV
BMW,IX 2,BEV
BMW,IX 3,BEV
BMW,IX 40,BEV
BMW,IX 45,BEV
BMW,IX 50,BEV
BMW,IX E45,BEV
BMW,IX M60,BEV
BMW,IX X45,BEV
BMW,IX X50,BEV
BMW,IX XDR,BEV
BMW,IX1,BEV
BMW,IX1 2,BEV
BMW,IX1 20,BEV
BMW,IX1 30,BEV
BMW,IX1 E2,BEV
BMW,IX1 ED,BEV
BMW,IX1 XD,BEV
BMW,IX120,BEV
BMW,IX130,BEV
BMW,IX1XDR,BEV
BMW,IX2,BEV
BMW,IX2 20,BEV
BMW,IX2 30,BEV
BMW,IX2 ED,BEV
BMW,IX2 XD,BEV
BMW,IX3,BEV
BMW,IX3 M,BEV
BMW,IX3 MS,BEV
BMW,IX4,BEV
BMW,IX40,BEV
BMW,IX45,BEV
BMW,IX50,BEV
BMW,IXDRIV,BEV
BMW,IXL,BEV
BMW,JCW,ICE
BMW,JCW E,ICE
BMW,K 160,ICE
BMW,K 1600,ICE
BMW,K1000G,ICE
BMW,K1600,ICE
BMW,K1600B,ICE
BMW,K1600G,ICE
BMW,M 1000,ICE
BMW,M1 35I,ICE
BMW,M1000,ICE
BMW,M1000R,ICE
BMW,M1000X,ICE
BMW,M135,ICE
BMW,M135 H,ICE
BMW,M135 X,ICE
BMW,M135I,ICE
BMW,M2,ICE
BMW,M2 COU,ICE
BMW,M2 CS,ICE
BMW,M235,ICE
BMW,M235 X,ICE
BMW,M235I,ICE
BMW,M240,ICE
BMW,M240I,ICE
BMW,M3,ICE
BMW,M3 COM,ICE
BMW,M3 CS,ICE
