make_raw,make_standardized
AUDI,AUDI
CHERY,CHERY
CUPRA,CUPRA
FIAT,FIAT
FORD,FORD
JEEP,JEEP
KIA,KIA
LDV,LDV
LEXUS,LEXUS
LOTUS,LOTUS
MAZDA,MAZDA
MINI,MINI
NISSAN,NISSAN
SKODA,SKODA
SUBARU,SUBARU
TESLA,TESLA
TOYOTA,TOYOTA
VOLVO,VOLVO
DEEPAL,DEEPAL
DENZA,DENZA
ZEEKR,ZEEKR
GAC,GAC
GEELY,GEELY
JAECOO,JAECOO
KGM,KGM
SMART,SMART
XPENG,XPENG
